No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year, Total Acquisition value,Category,Disposal date,Year Of Disposal,Amount Deduction
44,Monitor LG #3 - CPF,300249,CPF,,48,4,1-Sep-15,2015,1188000,Equipment,30-Jun-18,2018,1188000
45,Thinkclient T510 #1 - CPF,300250,CPF,,48,4,1-Sep-15,2015,4290000,Equipment,30-Jun-18,2018,4290000
46,Thinkclient T510 #2 - CPF,300251,CPF,,48,4,1-Sep-15,2015,4290000,Equipment,30-Jun-18,2018,4290000
47,Thinkclient T510 #3 - CPF,300252,CPF,,48,4,1-Sep-15,2015,4290000,Equipment,30-Jun-18,2018,4290000
48,Compressor GXE7P A 10 ml 400 50 MK5 TM + FX5 (A4)  A CE 230V1PH50 - CPF1,300276,CPF,,48,4,1-Sep-15,2015,135520000,Equipment,30-Jun-18,2018,135520000
49,Filter DD35 + (NPT 1/2) #1 - CPF1,300277,CPF,,48,4,1-Sep-15,2015,7700000,Equipment,30-Jun-18,2018,7700000
50,Filter DD35 + (NPT 1/2) #2 - CPF1,300278,CPF,,48,4,1-Sep-15,2015,7700000,Equipment,30-Jun-18,2018,7700000
51,"Digital Portable Balance, Yamaha ex Taiwan, Model: YA 30K, 29x27cm - CPF",300279,CPF,,48,4,1-Oct-15,2015,1408000,Equipment,30-Jun-18,2018,1408000
52,Thermo 1384 - G 1300 Biological Safety Cabinet class II A2 1.2 m / 4 feet - CPF,300294,CPF,,96,4,1-Nov-15,2015,125400000,Equipment,30-Jun-18,2018,125400000
53,HVE 50 Autoclave Hirayama 540w x 1040h x 530d mm - CPF,300295,CPF,,96,4,1-Nov-15,2015,64240000,Equipment,30-Jun-18,2018,64240000
54,"88880018 Thermo LP Vortex Mixer, Touch Continous, Variable Speed control  AC 100-240v - CPF1",300296,CPF,,96,4,1-Nov-15,2015,4719440,Equipment,30-Jun-18,2018,4719440
55,FI 4652080 Finnpipette F2 fix Vol.1ml Autoclavable + QSP nT112XLRL-Q Pipette Tip 1 ML - CPF1,300297,CPF,,96,4,1-Nov-15,2015,2833600,Equipment,30-Jun-18,2018,2833600
56,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (1) - CPF,300298,CPF,,96,4,1-Nov-15,2015,8723440,Equipment,30-Jun-18,2018,8723440
57,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (2) - CPF,300299,CPF,,96,4,1-Nov-15,2015,8723440,Equipment,30-Jun-18,2018,8723440
58,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (3) - CPF,300300,CPF,,96,4,1-Nov-15,2015,8723440,Equipment,30-Jun-18,2018,8723440
59,LP 11598 Cultiplast swab - CPF1,300301,CPF,,96,4,1-Nov-15,2015,1760000,Equipment,30-Jun-18,2018,1760000
60,"Chiller cabinet (MGUR-60), dimensi : 60x74x195.5 V : 425 L - CPF1",300302,CPF,,48,4,1-Sep-15,2015,17106376,Equipment,30-Jun-18,2018,17106376
61,Bottle dispense cap 1-10 ml - CPF1,300303,CPF,,48,4,1-Oct-15,2015,5874000,Equipment,30-Jun-18,2018,5874000
62,"Meja Zink single bowl #1, size: 1550x600x900 mm - CPF1",300304,CPF,,96,4,1-Oct-15,2015,10683750,Equipment,30-Jun-18,2018,10683750
63,"Meja Zink single bowl #2, size: 1550x600x900 mm - CPF1",300305,CPF,,96,4,1-Oct-15,2015,10683750,Equipment,30-Jun-18,2018,10683750
64,"Meja single sink, size 600x600x900mm - CPF1",300306,CPF,,96,4,1-Oct-15,2015,5362500,Equipment,30-Jun-18,2018,5362500
65,"Meja preparation (polos tanpa bowl), size 1200x600x900mm - CPF",300307,CPF,,96,4,1-Oct-15,2015,7260000,Equipment,30-Jun-18,2018,7260000
66,"Meja Zink single bowl (ruang juicer), size: 1200x600x900 mm - CPF1",300308,CPF,,96,4,1-Oct-15,2015,10683750,Equipment,30-Jun-18,2018,10683750
67,"Meja preparation, size 1850x600x900mm - CPF1",300309,CPF,,96,4,1-Oct-15,2015,9693750,Equipment,30-Jun-18,2018,9693750
68,"Meja preparation polos #1, size 1800x600x900mm - CPF",300310,CPF,,96,4,1-Oct-15,2015,9487500,Equipment,30-Jun-18,2018,9487500
69,"Meja preparation polos #2, size 1800x600x900mm - CPF",300311,CPF,,96,4,1-Oct-15,2015,9487500,Equipment,30-Jun-18,2018,9487500
70,"Meja Zink 3 bowl +prerinse+1 kran, size 2200x600x900mm - CPF",300312,CPF,,96,4,1-Oct-15,2015,12168750,Equipment,30-Jun-18,2018,12168750
71,Data logger EBI 300 #1 - CPF,300349,CPF,,48,4,1-Oct-15,2015,2505800,Equipment,30-Jun-18,2018,2505800
72,Data logger EBI 300 #2 - CPF,300350,CPF,,48,4,1-Oct-15,2015,2505800,Equipment,30-Jun-18,2018,2505800
73,Data logger EBI 300 #3 - CPF,300351,9CPF,,48,4,1-Oct-15,2015,2505800,Equipment,30-Jun-18,2018,2505800
74,Filling Cabinet Low White - CPF,300354,CPF,,48,4,1-Oct-15,2015,1234050,Equipment,30-Jun-18,2018,1234050
75,Filling Cabinet High White - CPF,300355,CPF,,48,4,1-Oct-15,2015,2279050,Equipment,30-Jun-18,2018,2279050
76,Filling Cabinet High White - CPF #2,300356,CPF,,48,4,1-Oct-15,2015,2279050,Equipment,30-Jun-18,2018,2279050
77,Infrared Termometer - CPF1,300359,CPF,,24,4,1-Nov-15,2015,1320000,Equipment,30-Jun-18,2018,1320000
78,Automatic Tritator + pH Meter - CPF1,300360,CPF,,96,4,1-Nov-15,2015,33000000,Equipment,30-Jun-18,2018,33000000
79,Angel 20k #1 - CPF1,300366,CPF,,96,4,1-Dec-15,2015,116201554,Equipment,30-Jun-18,2018,116201554
80,Angel 20k #2 - CPF1,300367,CPF,,96,4,1-Dec-15,2015,116201554,Equipment,30-Jun-18,2018,116201554
81,AC 1pk Panasonic Type Standart #1 - CPF,300368,CPF,,48,4,1-Oct-15,2015,3500000,Equipment,30-Jun-18,2018,3500000
82,AC 1pk Panasonic Type Standart #2 - CPF,300369,CPF,,48,4,1-Oct-15,2015,3500000,Equipment,30-Jun-18,2018,3500000
83,AC 1pk Panasonic Type Standart #3 - CPF,300370,CPF,,48,4,1-Oct-15,2015,3500000,Equipment,30-Jun-18,2018,3500000
84,AC 1pk Panasonic Type Standart #4 - CPF,300371,CPF,,48,4,1-Oct-15,2015,3500000,Equipment,30-Jun-18,2018,3500000
85,"AC 1,5pk Panasonic Type Standart #1 - CPF",300372,CPF,,48,4,1-Oct-15,2015,4700000,Equipment,30-Jun-18,2018,4700000
86,"AC 1,5pk Panasonic Type Standart #2 - CPF",300373,CPF,,48,4,1-Oct-15,2015,4700000,Equipment,30-Jun-18,2018,4700000
87,"AC 1,5pk Panasonic Type Standart #3 - CPF",300374,CPF,,48,4,1-Oct-15,2015,4700000,Equipment,30-Jun-18,2018,4700000
88,AC 2pk Panasonic Type Standart #1 - CPF,300375,CPF,,48,4,1-Oct-15,2015,5950000,Equipment,30-Jun-18,2018,5950000
89,AC 2pk Panasonic Type Standart #2 - CPF,300376,CPF,,48,4,1-Oct-15,2015,5950000,Equipment,30-Jun-18,2018,5950000
90,AC 2pk Panasonic Type Standart #3 - CPF,300377,CPF,,48,4,1-Oct-15,2015,5950000,Equipment,30-Jun-18,2018,5950000
91,AC 2pk Panasonic Type Standart #4 - CPF,300378,CPF,,48,4,1-Oct-15,2015,5950000,Equipment,30-Jun-18,2018,5950000
92,Printer HP DJ 1510 - CPF,300379,9CPF,,48,4,1-Oct-15,2015,610500,Equipment,30-Jun-18,2018,610500
93,Panasonic telephone KX TS505MX #1 - CPF,300383,CPF,,24,4,1-Oct-15,2015,159500,Equipment,30-Jun-18,2018,159500
94,Panasonic telephone KX TS505MX #2 - CPF,300384,CPF,,24,4,1-Oct-15,2015,159500,Equipment,30-Jun-18,2018,159500
95,Printer Epson LX310 - CPF1,300385,9CPF,,48,4,1-Oct-15,2015,2090000,Equipment,30-Jun-18,2018,2090000
96,"Timbangan digital hybrid type Alexa kap. 150kgx0,05kg - CPF",300388,9CPF,,96,4,1-Oct-15,2015,3570000,Equipment,30-Jun-18,2018,3570000
97,"Timbangan digital hybrid type Alexa kap. 60kgx0,02kg #1 - CPF",300389,9CPF,,96,4,1-Oct-15,2015,2197250,Equipment,30-Jun-18,2018,2197250
98,"Timbangan digital hybrid type Alexa kap. 60kgx0,02kg #2 - CPF",300390,9CPF,,96,4,1-Oct-15,2015,2197250,Equipment,30-Jun-18,2018,2197250
99,Dust Bin 4 wheel green 660L (kode : KW1801043) #1 - CPF1,300391,9CPF,,48,4,1-Dec-15,2015,3299000,Equipment,30-Jun-18,2018,3299000
100,Storage Industrial 4 Shelf 196x61x183 GRY (10009890) - CPF1,300392,CPF,,96,4,1-Nov-15,2015,2699000,Equipment,30-Jun-18,2018,2699000
101,"Trolley stainlesstanpa laci, uk : 60x43x80cm - CPF1",300393,CPF,,96,4,1-Nov-15,2015,5600000,Equipment,30-Jun-18,2018,5600000
102,"Trolley cabinet with swing door, uk : 100cmx70cm - CPF1",300394,CPF,,96,4,1-Nov-15,2015,8800000,Equipment,30-Jun-18,2018,8800000
103,Dispenser Sharp SWD 72 EHL -BK-CPF1,300395,CPF,,96,4,1-Nov-15,2015,2500000,Equipment,30-Jun-18,2018,2500000
104,"Timbangan digital Hybrid Tpe Alexa kap. 150kg x 0,05 kg #2 - CPF1",300396,9CPF,,96,4,1-Nov-15,2015,3570000,Equipment,30-Jun-18,2018,3570000
105,Dust Bin 120 ltr with pedal Green (KW1801271) #1 - CPF1,300397,9CPF,,48,4,1-Dec-15,2015,810000,Equipment,30-Jun-18,2018,810000
106,Dust Bin 120 ltr with pedal Green (KW1801271) #2 - CPF1,300398,9CPF,,48,4,1-Dec-15,2015,810000,Equipment,30-Jun-18,2018,810000
107,Dust Bin 120 ltr with pedal Green (KW1801271) #3 - CPF1,300399,9CPF,,48,4,1-Dec-15,2015,810000,Equipment,30-Jun-18,2018,810000
108,Dust Bin 120 ltr with pedal Green (KW1801271) #4 - CPF1,300400,9CPF,,48,4,1-Dec-15,2015,810000,Equipment,30-Jun-18,2018,810000
109,Magna.Plate 44-2 35 LB./Pail - CPF1,300401,CPF,,12,4,1-Nov-15,2015,7348000,Equipment,30-Jun-18,2018,7348000
110,Magna.Plate 60 5 Gal.I Pail - CPF1,300402,CPF,,12,4,1-Nov-15,2015,3286800,Equipment,30-Jun-18,2018,3286800
111,White board gantung uk 120x180cm #1 - CPF1,300408,9CPF,,96,4,1-Nov-15,2015,607500,Equipment,30-Jun-18,2018,607500
112,White board gantung uk 120x180cm #2 - CPF1,300409,9CPF,,96,4,1-Nov-15,2015,607500,Equipment,30-Jun-18,2018,607500
113,AC 1 PK Panasonic Type Standard #5 - CPF1,300410,CPF,,96,4,1-Nov-15,2015,3700000,Equipment,30-Jun-18,2018,3700000
114,AC 1 PK Panasonic Type Standard #6 - CPF1,300411,CPF,,96,4,1-Nov-15,2015,3700000,Equipment,30-Jun-18,2018,3700000
115,Digital Chlorine Tester AMT06 - CPF1,300412,CPF,,48,4,1-Dec-15,2015,4800000,Equipment,30-Jun-18,2018,4800000
116,"Meja Zink Bowl + Prerinse + 1 kran, size 1600x600x900 mm - CPF1",300413,CPF,,96,4,1-Nov-15,2015,12168750,Equipment,30-Jun-18,2018,12168750
117,"Meja preparation (polos tanpa bowl)+backspash #1 , size 2038x600x900mm - CPF1",300414,CPF,,96,4,1-Nov-15,2015,10312500,Equipment,30-Jun-18,2018,10312500
