No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year, Total Acquisition value,Category,Disposal date,Year Of Disposal,Amount Deduction
440,Ice Cube Machine Brand : MANITOWOC capacity : up to 100kg/day -PXV,300182,9CPF,,48,4,1-Oct-15,2015,24899999.96,Equipment,,,0
441,"Undercounter Freezer 1 door, mastercool 705x770x850 mm- PXV",300183,9CPF,,48,4,1-Oct-15,2015,13068000,Equipment,,,0
442,Saladette w/ 10 x 1/4 GN Pan w/ Lid 1045 x 700 x 850 - PXV,300184,9CPF,,48,4,1-Nov-15,2015,15345000,Equipment,,,0
443,Undercounter chiller 2 door mastercool X ECX 210 TN - PXV,300185,FXS2,,48,4,1-Oct-15,2015,16588000,Equipment,,,0
444,Juicer kuvings  platinum B600 R - PXV,300186,9OPS,,48,4,1-Oct-15,2015,3842300,Equipment,,,0
445,Juicer kuvings  platinum B600 R - KKS,300188,KKS1,,48,4,1-Sep-15,2015,3842300,Equipment,,,0
446,Juicer kuvings  platinum B600 R - GCT,300189,MAX1,,48,4,1-Sep-15,2015,3842300,Equipment,,,0
447,Juicer kuvings  platinum B600 R - LOW,300190,LOW1,,48,4,1-Sep-15,2015,3842300,Equipment,,,0
448,POS 391 10.4 inch integrated POS - KNC1,300191,KNC1,,48,4,1-Sep-15,2015,28512000,Equipment,,,0
449,Cash drawer Additional - KNC1,300192,KNC1,,48,4,1-Sep-15,2015,1111880,Equipment,,,0
450,391 customer display - KNC1,300193,KNC1,,48,4,1-Sep-15,2015,1544400,Equipment,,,0
451,POS 391 10.4 inch integrated POS - RTP1,300194,9IST,,48,4,1-Dec-15,2015,28512000,Equipment,,,0
452,Cash drawer Additional - RTP1,300195,9OPS,,48,4,1-Dec-15,2015,1111880,Equipment,,,0
453,391 customer display - RTP1,300196,9IST,,48,4,1-Dec-15,2015,1544400,Equipment,,,0
454,POS 391 10.4 inch integrated POS - FXS,300197,ECS1,,48,4,1-Dec-15,2015,28512000,Equipment,,,0
455,Cash drawer Additional - FXS1,300198,ECS1,,48,4,1-Dec-15,2015,1111880,Equipment,,,0
456,391 customer display - FXS1,300199,ECS1,,48,4,1-Dec-15,2015,1544400,Equipment,,,0
457,POS 391 10.4 inch integrated POS - ALS1,300202,ALS1,,48,4,1-Sep-15,2015,33941600,Equipment,,,0
458,"Desktop Veritron X2611 core i3 + LED 19,5 - ALS1",300203,ALS1,,48,4,1-Jul-15,2015,11388960,Equipment,,,0
459,Cash drawer Additional - ALS1,300204,ALS1,,48,4,1-Sep-15,2015,1111880,Equipment,,,0
460,Finger print solution X100 - ALS,300206,ALS1,,48,4,1-Jul-15,2015,2090000,Equipment,,,0
461,"Showcase juice cooler, holic-taiwan, stainlees steel #1, 1200x706x1614 - ALS1",300209,PLI1,,48,4,1-Sep-15,2015,65450000,Equipment,,,0
462,"Showcase juice cooler, holic-taiwan, stainlees steel #2, 1200x706x1614 - ALS1",300210,ALS1,,48,4,1-Sep-15,2015,65450000,Equipment,,,0
463,Ice Cube Machine Brand : MANITOWOC capacity : up to 100kg/day - ALS,300211,OBP1,,48,4,1-Oct-15,2015,24899999.96,Equipment,,,0
464,"Undercounter Freezer 1 door, mastercool 705x770x850 mm- ALS1",300212,OBP1,,48,4,1-Oct-15,2015,13068000,Equipment,,,0
465,Saladette w/ 10 x 1/4 GN Pan w/ Lid 1045 x 700 x 850 - ALS,300213,OBP1,,48,4,1-Nov-15,2015,15345000,Equipment,,,0
466,Undercounter chiller 2 door mastercool X ECX 210 TN - ALS,300214,ALS1,,48,4,1-Oct-15,2015,16588000,Equipment,,,0
467,Juicer kuvings  platinum B600 R - ALS,300215,ALS1,,48,4,1-Oct-15,2015,3842300,Equipment,,,0
468,UPS ICA 1200 VA - PXV1,300216,9IST,,48,4,1-Jul-15,2015,962500,Equipment,,,0
469,UPS ICA 1200 VA - ALS1,300217,ALS1,,48,4,1-Jul-15,2015,962500,Equipment,,,0
470,"Chest freezer (AB-100) merk GEA 57x52x85, watt:100 - MKT - PIM",300218,PIM1,,48,4,1-Aug-15,2015,2103750,Equipment,,,0
471,"Cooler box ""Coleman"" 60 QT Wheeled Cooler Blue - PIM",300220,PIM1,,24,2,1-Aug-15,2015,1480000,Equipment,,,0
472,"Cooler box ""Coleman"" 60 QT Wheeled Cooler Blue - WTC",300221,WTC1,,24,2,1-Aug-15,2015,1480000,Equipment,,,0
473,"Cooler box ""Coleman"" 60 QT Wheeled Cooler Blue - MAXX",300222,MAX1,,24,2,1-Aug-15,2015,1480000,Equipment,,,0
474,"Cooler box ""Coleman"" 60 QT Wheeled Cooler Blue - PP",300223,PPC1,,24,2,1-Aug-15,2015,1480000,Equipment,,,0
475,"Cooler box ""Coleman"" 60 QT Wheeled Cooler Blue - ALS",300224,ALS1,,24,2,1-Aug-15,2015,1480000,Equipment,,,0
476,POS 391 10.4 inch integrated POS - SML1,300225,RYP1,,48,4,1-Sep-15,2015,28512000,Equipment,,,0
477,Cash drawer Additional - SML1,300227,TPL2,,48,4,1-Sep-15,2015,1111880,Equipment,,,0
478,391 Customer Display - SML1,300228,TPL2,,48,4,1-Sep-15,2015,1544400,Equipment,,,0
479,Finger print solution X100 - SML1,300229,LMP1,,48,4,1-Sep-15,2015,2090000,Equipment,,,0
480,Printer HP DJ 1510 - FXS,300240,RSP1,,48,4,1-Oct-15,2015,1221000,Equipment,,,0
481,"Showcase juice cooler C5, 1200x706x1614 - KNC1",300241,KNC1,,48,4,1-Oct-15,2015,65450000,Equipment,,,0
482,"Showcase juice cooler C5, 1200x706x1614 - FXS1",300242,MKG1,,48,4,1-Dec-15,2015,65450000,Equipment,,,0
483,"Desktop Veritron X2630 + LED 19,5 + monitor LED 19.5 - SML",300253,LMP1,,48,4,1-Aug-15,2015,8580000,Equipment,,,0
484,UPS ICA 1200 VA - SML1,300254,LMP1,,48,4,1-Aug-15,2015,962500,Equipment,,,0
485,Printer brother laserjet MFC1815 - SML,300255,LMP1,,48,4,1-Sep-15,2015,649000,Equipment,,,0
486,Undercounter chiller 2 door mastercool X ECX 210 TN #2 - ALS,300256,EMP1,,48,4,1-Oct-15,2015,16588000,Equipment,,,0
487,POS 391 10.4 inch integrated POS - PLS,300257,BSQ1,,48,4,1-Sep-15,2015,33941600,Equipment,,,0
488,"Desktop Veritron X2611 + LED 19,5 - PLS",300258,9FNA,,48,4,1-Aug-15,2015,8580000,Equipment,,,0
489,Cash drawer Additional - PLS,300259,BSQ1,,48,4,1-Sep-15,2015,1111880,Equipment,,,0
490,15 inch LCD Display - LCD full collor  - PLS1,300260,BSQ1,,48,4,1-Sep-15,2015,2808960,Equipment,,,0
491,Finger print solution X100 - PLS1,300261,BSQ1,,48,4,1-Sep-15,2015,2090000,Equipment,,,0
492,Printer brother laserjet MFC1815 - PLS1,300262,9IST,,48,4,1-Sep-15,2015,579000,Equipment,,,0
493,"Showcase juice cooler C5, 1200x706x1614 mm #1 - PLS1",300264,PLI1,,48,4,1-Oct-15,2015,65450000,Equipment,,,0
494,"Showcase juice cooler C5, 1200x706x1614 mm #2 - PLS1",300265,9OPS,,48,4,1-Oct-15,2015,65450000,Equipment,,,0
495,Ice Cube Machine Brand : MANITOWOC capacity : up to 100kg/day - PLS,300266,SOH1,,48,4,1-Oct-15,2015,24899999.96,Equipment,,,0
496,"Undercounter Freezer 1 door, mastercool 705x770x850 mm- PLS1",300267,CTW1,,48,4,1-Oct-15,2015,13068000,Equipment,,,0
497,Juicer kuvings  platinum B600 R - PLS1,300271,9OPS,,48,4,1-Oct-15,2015,3842300,Equipment,,,0
498,UPS ICA 1200 VA - PLS1,300272,BSQ1,,48,4,1-Aug-15,2015,962500,Equipment,,,0
499,Finger print solution X100 - KNC1,300273,KNC1,,48,4,1-Sep-15,2015,2090000,Equipment,,,0
500,Printer brother laserjet MFC1815 - KNC1,300274,KNC1,,48,4,1-Sep-15,2015,649000,Equipment,,,0
501,Laptop Acer Aspire E3-112M-C6FJ-KNC1,300275,KNC1,,48,4,1-Aug-15,2015,3960000,Equipment,,,0
502,Notebook Lenovo E10 9773 - FXS1,300282,OKW1,,48,4,1-Oct-15,2015,6050000,Equipment,,,0
503,Notebook Lenovo E10 9773 - RTP1,300283,9IST,,48,4,1-Oct-15,2015,6050000,Equipment,,,0
504,Steel safe 25 EK (Brankas) - PPC1,300286,PPC1,,48,4,1-Aug-15,2015,529000,Equipment,,,0
505,Printer canon MG2570 - PPC1,300287,PPC1,,48,4,1-Aug-15,2015,685000,Equipment,,,0
506,Panasonic telephone KXTG1611F - PPC1 & RTP,300288,RTP1,,48,4,1-Aug-15,2015,598500,Equipment,,,0
507,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - PXV1,300289,PIM1,,48,4,1-Oct-15,2015,23177000,Equipment,,,0
508,Printer canon MG2570 - PXV1,300292,9IST,,48,4,1-Oct-15,2015,668000,Equipment,,,0
509,POS 385 15 inch integrated POS+bixolon thermal printer SRP350G+Raptor Operators Card+Lanyards (5ea) - OKW,300316,OKW1,,48,4,1-Oct-15,2015,32946760,Equipment,,,0
510,15 inch LCD Display - OKW,300317,OKW1,,48,4,1-Oct-15,2015,2340800,Equipment,,,0
511,"Desktop Veriton X2630 core i3 + LED 19,5inch - OKW",300318,9IST,,48,4,1-Oct-15,2015,8690000,Equipment,,,0
512,UPS ICA 1200VA - OKW,300319,OKW1,,48,4,1-Oct-15,2015,962500,Equipment,,,0
513,Showcase Juice Cooler type C5 #1 - OKW1,300320,OKW1,,48,4,1-Nov-15,2015,70125000,Equipment,,,0
514,Showcase Juice Cooler type C5 #2 - OKW1,300321,JGC1,,48,4,1-Nov-15,2015,70125000,Equipment,,,0
515,Juicer kuvings Platinum B6000 R - OKW1,300322,OKW1,,48,4,1-Dec-15,2015,3842300,Equipment,,,0
516,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - OKW1,300323,LOW1,,48,4,1-Jan-16,2016,23177000,Equipment,,,0
517,Finger Print Solution X100c - OKW1,300324,OKW1,,48,4,1-Oct-15,2015,2090000,Equipment,,,0
518,"Digital Portable Balance Yamaha Ex Taiwan  Model YA30K, 29x27cm - OKW",300325,OKW1,,48,4,1-Oct-15,2015,1408000,Equipment,,,0
519,Undercounter chiller 2 door Mastercool X ECX 210 TN #2 - OKW1,300326,OKW1,,48,4,1-Jan-16,2016,17776000,Equipment,,,0
520,Saladette w/ 10 X 1/4 GN Pan w/lid 1045 X 700 X 850-OKW1,300327,OKW1,,48,4,1-Jan-16,2016,16335000,Equipment,,,0
521,"Ice Cube Machine Brand, manitowoc model -OKW1",300329,OKW1,,48,4,1-Jan-16,2016,24899999.96,Equipment,,,0
522,Printer HP D1510 - OKW,300330,OKW1,,48,4,1-Oct-15,2015,610500,Equipment,,,0
523,"Desktop Veriton X2630 core i3 + LED 19,5inch - SQR",300333,SQR1,,48,4,1-Oct-15,2015,8690000,Equipment,,,0
524,UPS ICA 1200VA - SQR,300334,SQR1,,48,4,1-Oct-15,2015,962500,Equipment,,,0
525,Showcase Juice Cooler type C5 #1 - SQR1,300335,PSN1,,48,4,1-Dec-15,2015,70125000,Equipment,,,0
526,Showcase Juice Cooler type C5 #2 - SQR1,300336,PSN1,,48,4,1-Dec-15,2015,70125000,Equipment,,,0
527,Juicer kuvings Platinum B6000 R - SQR,300337,SQR1,,48,4,1-Dec-15,2015,3842300,Equipment,,,0
528,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - SQR1,300338,SQR1,,48,4,1-Nov-15,2015,23177000,Equipment,,,0
529,Finger Print Solution X100c - SQR,300339,SQR1,,48,4,1-Oct-15,2015,2090000,Equipment,,,0
530,"Digital Portable Balance Yamaha Ex Taiwan  Model YA30K, 29x27cm - SQR",300340,SQR1,,48,4,1-Oct-15,2015,1408000,Equipment,,,0
531,"Ice Cube Machine Brand, manitowoc model - SQR1",300344,SQR1,,48,4,1-Nov-15,2015,24899999.96,Equipment,,,0
532,Printer HP D1510 - SQR,300345,KNC1,,48,4,1-Oct-15,2015,610500,Equipment,,,0
533,UprightChiller 2door (GN 650 TN M) - SQR1,300346,SQR1,,48,4,1-Nov-15,2015,23870000,Equipment,,,0
534,POS 385 inch 2nd Screen Hinge and bracket - OKW,300347,OKW1,,48,4,1-Oct-15,2015,468160,Equipment,,,0
535,"Desktop Veriton X2630 core i3 + LED 19,5inch - Recruitment HRD",300362,9HRD,,48,4,1-Oct-15,2015,9024400,Equipment,,,0
536,"Desktop Veriton X2630 core i3 + LED 19,5inch - GA Staff",300363,9HRD,,48,4,1-Oct-15,2015,9024400,Equipment,,,0
537,Printer HP DJ 1510 - RTP,300380,RTP1,,48,4,1-Oct-15,2015,610500,Equipment,,,0
538,Panasonic Telephone KX TS505MX - FXS1,300381,9IST,,24,2,1-Oct-15,2015,159500,Equipment,,,0
539,Finger Print Solution X100C - RTP,300386,RTP1,,48,4,1-Oct-15,2015,2310000,Equipment,,,0
540,Finger Print Solution X100C - FXS,300387,9IST,,48,4,1-Oct-15,2015,2310000,Equipment,,,0
541,Display Cooler (Expo-90)-KKS1,300403,KKS1,,48,4,1-Nov-15,2015,2329250,Equipment,,,0
542,Display Cooler (Expo-90)-LOW1,300404,LOW1,,48,4,1-Nov-15,2015,2329250,Equipment,,,0
543,Filling Cabinet Prince 4 laci V304 - HRD,300405,9HRD,,48,4,1-Oct-15,2015,1559000.3,Equipment,,,0
544,Desktop Veriton X2630 core i3 tanpa monitor - HO,300406,9BOD,,48,4,1-Nov-15,2015,8034400,Equipment,,,0
545,"Display Cooler (Expo-280P), size  : 53x65.163 280 L 260 - RTP1",300407,RTP1,,48,4,1-Nov-15,2015,5082000,Equipment,,,0
546,Infrared Termometer -#2  CPF1,300418,CPF,,24,4,1-Dec-15,2015,1357143,Equipment,,,0
547,Infrared Termometer -#3  CPF1,300419,CPF,,24,4,1-Dec-15,2015,1357143,Equipment,,,0
548,Infrared Termometer -#4 CPF1,300420,CPF,,24,4,1-Dec-15,2015,1357143,Equipment,,,0
549,"Desktop Veriton X2630 core i3 + LED 19,5 - IT Helpdesk Staff",300422,9IST,,48,4,1-Dec-15,2015,9024400,Equipment,,,0
550,"Desktop Veriton X2630 core i3 + LED 19,5 - GIN1",300423,9IST,,48,4,1-Dec-15,2015,9024400,Equipment,,,0
551,"Digital Portable Balance,Yamata Ex Taiwan,Model YA30K, 29x27cm-GIN1",300424,GIN1,,48,4,,2016,1408000,Equipment,,,0
552,UPS ICA 1200VA - GIN1,300427,GIN1,,48,4,1-Dec-15,2015,935000,Equipment,,,0
553,Chest Freezer Merk GEA type AB-100 - GIN1,300437,GIN1,,48,4,,2016,4319700,Equipment,,,0
554,"Display Cooler (Expo-280P), size  : 53x65.163 280 L 260 - FXS1",300448,AON1,,48,4,1-Dec-15,2015,5082000,Equipment,,,0
555,Medium Buffered Petpone 500 gr - CPF1,300450,CPF,,1,0.083333333,1-Jan-16,2016,1363000,Equipment,,,0
556,Laptop acer i3 - Distric Manager HO,300456,9OPS,,48,4,1-Jan-16,2016,12936000,Equipment,,,0
557,"Showcase juice cooler C5 #1, 1200x706x1614 - SML1",300230,GIN1,,48,4,1-Feb-16,2016,65450000,Equipment,,,0
558,"Showcase juice cooler C5 #2, 1200x706x1614 - SML1",300231,GIN1,,48,4,1-Feb-16,2016,65450000,Equipment,,,0
559,USB Modem 4G Huawei E5373 - KNC1,300284,9MKT,,48,4,1-Feb-16,2016,12936000,Equipment,,,0
560,POS 385 inch integrated+Bixolon Thermal Printer SRP350G+Raptor Operators card+Lanyards (5 ea) SQR1,300331,9IST,,48,4,1-Sep-16,2016,32946760,Equipment,,,0
561,15 inch LCD Display - SQR1,300332,9IST,,48,4,1-Sep-16,2016,2340800,Equipment,,,0
562,POS 385 2ND SCREEN HINGE AND BRACKET - SQR1,300348,9IST,,48,4,1-Sep-16,2016,468160,Equipment,,,0
563,Undercounter chiller 2 door Mastercool X ECX 210 TN #2 - GIN1,300425,GIN1,,48,4,1-Feb-16,2016,17776000,Equipment,,,0
564,Ice Cube Machine Brand  : MANITOWOC Capacity : up to 100 kg/day-GIN1,300426,GIN1,,48,4,1-Feb-16,2016,24899999.96,Equipment,,,0
565,Finger Print Solution X100C - GIN1,300428,GIN1,,48,4,1-Feb-16,2016,2310000,Equipment,,,0
566,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - GIN1,300429,GIN1,,48,4,1-Feb-16,2016,23177000,Equipment,,,0
567,Saladette w/ 10 X 1/4 GN Pan w/lid 1045 X 700 X 850-GIN1,300430,GIN1,,48,4,1-Feb-16,2016,16335000,Equipment,,,0
568,POS 385 15 inch integrated POS-GIN1,300432,GIN1,,48,4,1-Feb-16,2016,33941600,Equipment,,,0
569,15 inch LCD Display - GIN1,300433,GIN1,,48,4,1-Feb-16,2016,2340800,Equipment,,,0
570,CASH DRAWER (BLACK) - GIN1,300434,GIN1,,48,4,1-Feb-16,2016,1111880,Equipment,,,0
571,POS 385 2ND SCREEN HINGE AND BRACKET - GIN1,300435,GIN1,,48,4,1-Feb-16,2016,468160,Equipment,,,0
572,Jug Vitamix VM 149 - GIN1,300466,GIN1,,48,4,1-Mar-16,2016,2310000,Equipment,,,0
573,Chiller Chea Expo - 280P - KKS1,300470,KKS1,,48,4,1-Mar-16,2016,5082000,Equipment,,,0
574,Chiller Chea Expo - 280P - LOW1,300471,LOW1,,48,4,1-Mar-16,2016,5082000,Equipment,,,0
575,Notebook Acer Lightweight TMP645 i5 - FNA,300472,9FNA,,48,4,1-Feb-16,2016,15100800,Equipment,,,0
576,POS 391 10.4 INCH INTEGRATED POS - HO,300476,9EAO,,48,4,1-Apr-16,2016,28512000,Equipment,,,0
577,Cash Drawer POS 391 - HO,300477,9EAO,,48,4,1-Apr-16,2016,1111880,Equipment,,,0
578,391 CUSTOMER DISPLAY - HO,300478,9EAO,,48,4,1-Apr-16,2016,1544400,Equipment,,,0
579,POS 391 10.4 INCH INTEGRATED POS - GI,300479,GIN1,,48,4,1-Apr-16,2016,28512000,Equipment,,,0
580,Cash Drawer POS 391 - GIN,300480,GIN1,,48,4,1-Apr-16,2016,1111880,Equipment,,,0
581,391 CUSTOMER DISPLAY - GIN,300481,GIN1,,48,4,1-Apr-16,2016,1544400,Equipment,,,0
582,POS 385 15 inchi Integrated POS - RS PURI,300482,RSP1,,48,4,1-Apr-16,2016,33941600,Equipment,,,0
583,Cash Drawer POS 385 - RS PURI,300483,RSP1,,48,4,1-Apr-16,2016,1111880,Equipment,,,0
584,15 Inchi LCD Display - RS PURI,300484,RSP1,,48,4,1-Apr-16,2016,2340800,Equipment,,,0
585,POS 385 15 inchi Integrated POS - AEON,300485,AON1,,48,4,1-Apr-16,2016,33941600,Equipment,,,0
586,Cash Drawer POS 385 - AEON,300486,AON1,,48,4,1-Apr-16,2016,1111880,Equipment,,,0
587,15 Inchi LCD Display - AEON,300487,AON1,,48,4,1-Apr-16,2016,2340800,Equipment,,,0
588,Printer HP Deskjet 2135 - Puri,300489,RSP1,,48,4,1-Mar-16,2016,742500,Equipment,,,0
589,Showcase Juice Cooler type C5 #1 - AEON,300490,AON1,,48,4,1-Apr-16,2016,65450000,Equipment,,,0
590,Printer HP Deskjet 2135 - AEON,300491,AON1,,48,4,1-Mar-16,2016,742500,Equipment,,,0
591,Netbook Lenovo IP100 7ID - PURI,300492,9IST,,48,4,1-Mar-16,2016,5900000,Equipment,,,0
592,Finger Print Solution X100C - RS PURI,300494,RSP1,,48,4,1-Mar-16,2016,2310000,Equipment,,,0
593,Netbook Lenovo IP100 7ID - AEON,300496,9IST,,48,4,1-Mar-16,2016,5900000,Equipment,,,0
594,Finger Print Solution X100C - AEON,300498,AON1,,48,4,1-Mar-16,2016,2310000,Equipment,,,0
595,POS 385 2ND SCREEN HINGE AND BRACKET - RS PURI,300500,RSP1,,48,4,1-Apr-16,2016,468160,Equipment,,,0
596,POS 385 2ND SCREEN HINGE AND BRACKET - AEON,300501,AON1,,48,4,1-Apr-16,2016,468160,Equipment,,,0
597,Notebook Acer Veriton i3 - QCQA Senior Staff,300509,9QAC,,48,4,1-Apr-16,2016,12936000,Equipment,,,0
598,Netbook ACER TMB116-M - PI,300512,PLI1,,48,4,1-Jul-16,2016,6875000,Equipment,,,0
599,Netbook ACER TMB116-M - Botani Square,300513,BSQ1,,48,4,1-Jul-16,2016,6875000,Equipment,,,0
600,Netbook ACER TMB116-M - Mall Kelapa Gading,300514,MKG1,,48,4,1-Jul-16,2016,6875000,Equipment,,,0
601,"CTS-SX20-PHD4X-K9 - Integrated HD Camera 4x zoom, 1920x1080 pixels progressive @60 fps - HO",300515,9IST,,48,4,1-Aug-16,2016,106087850,Equipment,,,0
602,HP 2530-24 Switch J9782A - HO,300516,9HOC,,48,4,1-Jun-16,2016,5363600,Equipment,,,0
603,HP 2530-48 Switch J9781A - HO,300517,9HOC,,48,4,1-Jun-16,2016,9677800,Equipment,,,0
604,Netbook Acer TMB116-M- one Bel Park,300518,OBP1,,48,4,1-Jul-16,2016,6875000,Equipment,,,0
605,Projector Infocud IN 126 STA (Short Throw) + Bracket- HO,300519,9HOC,,48,4,1-Jun-16,2016,13145000,Equipment,,,0
606,"Screen View Manual Pull Down Projector Screen 100"" - HO",300520,9HOC,,48,4,1-Jun-16,2016,2090000,Equipment,,,0
607,Yamaha RXV 679-Ampli - HO,300521,9HOC,,48,4,1-Jun-16,2016,9500000,Equipment,,,0
608,WLC Aruba 7005 - HO,300522,9HOC,,48,4,1-Jun-16,2016,19496169,Equipment,,,0
609,Aruba Access Point 103 #1 - HO,300523,9HOC,,48,4,1-Jun-16,2016,5259969,Equipment,,,0
610,Aruba Access Point 103 #2 - HO,300524,9HOC,,48,4,1-Jun-16,2016,5259969,Equipment,,,0
611,POS 385 15 inchi integrated POS - OBP,300526,9IST,,48,4,1-Jun-16,2016,33941600,Equipment,,,0
612,15 inch LCD Display-LCD full color - OBP,300527,9IST,,48,4,1-Jun-16,2016,2340800,Equipment,,,0
613,Cash Drawer 385 POS - OBP,300528,9IST,,48,4,1-Jun-16,2016,1111880,Equipment,,,0
614,POS 385 2nd Screen Hinge And Bracket - OBP,300529,9IST,,48,4,1-Jun-16,2016,468160,Equipment,,,0
615,Chiller GEA EXPO 800 AH/CN - OBP,300530,OBP1,,48,4,1-Jul-16,2016,12375000,Equipment,,,0
616,Finger Print Solution X100C - OBP,300533,OBP1,,48,4,1-Jul-16,2016,2310000,Equipment,,,0
617,UPS ICA 1200 VA - OBP,300534,OBP1,,48,4,1-Jun-16,2016,825000,Equipment,,,0
618,Modem Huawei E3372S - OBP,300536,OBP1,,48,4,1-Jun-16,2016,815000,Equipment,,,0
619,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #1 - HO Sequis",300537,9HOC,,48,4,1-Jun-16,2016,3250000,Equipment,,,0
620,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #2 - HO Sequis",300538,9HOC,,48,4,1-Jun-16,2016,3250000,Equipment,,,0
621,Vacum Cleaner Modena PURO VC 2050 - Ho Sequis,300539,9HOC,,48,4,1-Jul-16,2016,1149615,Equipment,,,0
622,Panasonic Microwave Silver type NNCT655MTTE/SL - HO Sequis,300540,9HOC,,48,4,1-Jun-16,2016,2589700,Equipment,,,0
623,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #3 - HO Sequis",300543,9HOC,,48,4,1-Jun-16,2016,7572600,Equipment,,,0
624,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #4 - HO Sequis",300544,9HOC,,48,4,1-Jun-16,2016,7572600,Equipment,,,0
625,Sharp Refri 2 door 670 liter black type WEB.SJ-IP861NLV-BK/BL,300545,9HOC,,48,4,1-Jun-16,2016,10779000,Equipment,,,0
626,Maxcold Roler Ice BLU50QT00045 - GIN,300546,GIN1,,48,4,1-May-16,2016,1259000,Equipment,,,0
627,Maxcold Roler Ice BLU50QT00045 - PP,300547,PPC1,,48,4,1-May-16,2016,1259000,Equipment,,,0
628,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #3 - HO Sequis",300548,9HOC,,48,4,1-Jun-16,2016,3250000,Equipment,,,0
629,Paper Shredder Autofit 75 sheet (290764) - HO Sequis,300549,9HOC,,48,4,1-Jul-16,2016,2799000,Equipment,,,0
630,Filling Cabinet 4 drawer merk Tiger #1 - HRD,300550,9HRD,,48,4,1-Jul-16,2016,2356000,Equipment,,,0
631,Filling Cabinet 4 drawer merk Tiger #2 - HRD,300551,9HRD,,48,4,1-Jul-16,2016,2356000,Equipment,,,0
632,Timbangan Analitik OHAUS CL-2000T (Cap 2000 gr) Digital scale,300552,9PRD,,48,4,1-Jun-16,2016,1950000,Equipment,,,0
633,1 Set BOSE Acoustimass AM6 Series V Black & 5 Pcs BOSE Universal Bracket UB-20 II Black - HO sequis,300553,9HOC,,48,4,1-Aug-16,2016,13044600,Equipment,,,0
634,Showcase Juice Cooler C3 - MKG,300554,MKG1,,48,4,1-Oct-16,2016,76560000,Equipment,,,0
635,TV LED Sony BRAVIA FHD LED 55 inch Internet TV (KDL-55W800C) - HO sequis,300555,9HOC,,48,4,1-Jul-16,2016,11988650,Equipment,,,0
636,KX-NS300-NS320 Unit - Master Expand Card - Bracket - 8 DLC Card - HO,300556,9HOC,,48,4,1-Jul-16,2016,20887295,Equipment,,,0
637,UPS ICA PN602 1200VA 24V HO Sequis,300557,9HOC,,48,4,1-Jul-16,2016,2420000,Equipment,,,0
638,Chiller GEA EXPO 800 AH/CN - SQS1,300563,SQS1,,48,4,1-Aug-16,2016,12375000,Equipment,,,0
639,Chiller GEA EXPO 800 AH/CN - GCT2,300567,GCT2,,48,4,1-Aug-16,2016,12375000,Equipment,,,0
640,Fingerprint i-Bio 330 + Locktronic + UI Bracket for Glass + Push Button + Emegency vreak glass - HO,300568,9HOC,,48,4,1-Aug-16,2016,4950000,Equipment,,,0
641,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #1 - HO Sequi,300569,9HOC,,48,4,1-Aug-16,2016,4485000,Equipment,,,0
642,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #2 - HO Sequi,300570,9HOC,,48,4,1-Aug-16,2016,4485000,Equipment,,,0
643,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #3 - HO Sequi,300571,9HOC,,48,4,1-Aug-16,2016,4485000,Equipment,,,0
644,PCS-17 with batterry for emegency backup power #1 - HO,300572,9HOC,,48,4,1-Aug-16,2016,1050000,Equipment,,,0
645,PCS-17 with batterry for emegency backup power #2 - HO,300573,9HOC,,48,4,1-Aug-16,2016,1050000,Equipment,,,0
646,Display Cooler EXPO - 600AH/CN - HO,300574,9HOC,,48,4,1-Jul-16,2016,10065000,Equipment,,,0
647,Bluray Pioneer BDP 3140 - HO,300575,9HOC,,48,4,1-Aug-16,2016,2100000,Equipment,,,0
648,Mixer CB Accaustic AK 7100 - HO,300576,9HOC,,48,4,1-Aug-16,2016,5500000,Equipment,,,0
649,Mic Wirelles Muray MU 628 - HO,300577,9HOC,,48,4,1-Aug-16,2016,2400000,Equipment,,,0
650,POS 391 10.4 Inch Integrated POS - PUP Gancit,300578,GCT2,,48,4,1-Sep-16,2016,23166000,Equipment,,,0
651,Cash Drawer (Black) - PUP Gancit,300579,GCT2,,48,4,1-Sep-16,2016,903402.5,Equipment,,,0
652,391 Custom Display - PUP Gancit,300580,GCT2,,48,4,1-Sep-16,2016,1254825,Equipment,,,0
653,POS 391 10.4 Inch Integrated POS - Sequis Center,300581,SQS1,,48,4,1-Sep-16,2016,23166000,Equipment,,,0
654,Cash Drawer (Black) - Sequis Center,300582,SQS1,,48,4,1-Sep-16,2016,903402.5,Equipment,,,0
