No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
562,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #1 - 9CPF",300349,9CPF,,48,4,19-Jul-19,2019," 2,500,000 ",Equipment
563,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #2 - 9CPF",300350,9CPF,1,48,4,19-Jul-19,2019," 2,500,000 ",Equipment
564,Mesin Coding Video Jet Type 1530 - 9CPF,300337,9CPF,,48,4,8-Aug-19,2019," 98,000,000 ",Equipment
565,Shelving Steel 5 Shelf 120x60x183cm Grey - 9CPF,300375,9CPF,,48,4,1-Aug-19,2019," 1,726,364 ",Equipment
566,Paper Shredder 10 Sheets White SD9112 - 9CPF,300376,9CPF,1,48,4,1-Aug-19,2019," 2,726,364 ",Equipment
567,SHARP Microwave Grill 25L Model:R728(S)IN SL - 9CPF,300377,9CPF,1,48,4,1-Aug-19,2019," 1,364,545 ",Equipment
568,ASA5508-K9 - Cisco ASA Firewall 5508-X & GIIP Bitung - 9CPF,300259,9CPF,1,48,4,30-Sep-19,2019," 20,901,400 ",Equipment
569,CS-KIT-K9 - Cisco Telepresence Video Conference & GIIP Bitung - 9CPF,300260,9CPF,1,48,4,30-Sep-19,2019," 65,545,200 ",Equipment
570,CTS-MIC-TABL20 - Cisco Telepresence Mic Table & GIIP Bitung - 9CPF,300261,9CPF,1,48,4,30-Sep-19,2019," 2,577,800 ",Equipment
571,CON-SNT-CSKITK9 - Partner Support for CS-KIT-K9 & GIIP Bitung - 9CPF,300262,9CPF,1,48,4,30-Sep-19,2019," 16,108,500 ",Equipment
572,J9773A - Aruba Switch 2530 24G Port PoE+ Switch & GIIP Bitung - 9CPF,300263,9CPF,1,48,4,30-Sep-19,2019," 13,529,200 ",Equipment
573,J9773A - Aruba Switch 2530 24G Port PoE+ Switch & GIIP Bitung - 9CPF,300264,9CPF,1,48,4,30-Sep-19,2019," 13,529,200 ",Equipment
574,JX954A - AP Aruba IAP-207 & GIIP Bitung - 9CPF,300265,9CPF,1,48,4,30-Sep-19,2019," 2,677,000 ",Equipment
