No.,Nama Aktiva Tetap,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Kategori
702,Keranjang Galvanis (Pallet Mesh Dalton Stocky 7) #1 - 9CPF,300505,9CPF,1,48,4,13-Jul-22,2022," 1,780,000 ",Equipment
703,Keranjang Galvanis (Pallet Mesh Dalton Stocky 7) #2 - 9CPF,300506,9CPF,1,48,4,13-Jul-22,2022," 1,780,000 ",Equipment
704,Keranjang Galvanis (Pallet Mesh Dalton Stocky 7) #3 - 9CPF,300507,9CPF,1,48,4,13-Jul-22,2022," 1,780,000 ",Equipment
705,"Centrifugal Pump/Pompa Air Baku (flow rate 15m3/hr, head 40Mtr, Power 3KW 4HP) - 9CPF",300514,9CPF,1,48,4,11-Jul-22,2022," 13,195,000 ",Equipment
706,DAIKIN (Thai) AC 1.5PK (include Installation) - 9CPF,300511,9CPF,1,48,4,12-Aug-22,2022," 7,813,000 ",Equipment
707,DAIKIN (Thai) AC 1.5PK (include Installation) - 9CPF,300512,9CPF,1,48,4,12-Aug-22,2022," 7,813,000 ",Equipment
708,Summersible Pump SHIMIZU SPN 250 BIT/250watt/220V AC/130 LtrPerMin - 9CPF,300515,9CPF,1,48,4,10-Aug-22,2022," 2,500,000 ",Equipment
709,Logitech Group Video Conferencing System - 9IST,300516,9IST,1,48,4,18-Aug-22,2022," 13,965,000 ",Equipment
710,Logitech Group Expansion Mics (2expansion mics) - 9IST,300517,9IST,1,48,4,18-Aug-22,2022," 4,425,000 ",Equipment
711,Conveyor Shrink Tunnel UV - 9CPF,300325,9CPF,1,48,4,23-Aug-22,2022," 76,500,000 ",Equipment
712,GEA Universal Fried Machine CS-60 L - 9PRD,300518,9PRD,1,48,4,1-Sep-22,2022," 101,470,000 ",Equipment
713,GEA Colloid Mill GNM-130 - 9PRD,300519,9PRD,1,48,4,1-Sep-22,2022," 54,750,000 ",Equipment
714,GEA Filler Machine GSG-MIX - 9PRD,300520,9PRD,1,48,4,1-Sep-22,2022," 26,280,000 ",Equipment
715,Automatic Capping Machine 3 heads with PLC Touch Screen system + Small Autofeeder - 9CPF,300382,9CPF,1,96,8,1-Oct-22,2022," 169,800,000 ",Equipment
716,Automatic Rinsing Machine 8 head with PLC Touch Screen System + Air Conveyor - 9CPF,300383,9CPF,1,96,8,1-Oct-22,2022," 155,650,000 ",Equipment
717,UV Light for Capping Machine - 9CPF,300384,9CPF,1,48,4,1-Oct-22,2022," 14,150,000 ",Equipment
718,SX-280 Commercial Juice Press System (Complete Set) - 9CPF,300385,9CPF,1,96,8,1-Oct-22,2022," 2,859,061,595 ",Equipment
719,Manual Capper 1 Head - 9CPF,300386,9CPF,1,48,4,1-Oct-22,2022," 7,075,000 ",Equipment
720,Manual Capper 1 Head - 9CPF,300387,9CPF,1,48,4,1-Oct-22,2022," 7,075,000 ",Equipment
721,Manual Capper 1 Head - 9CPF,300388,9CPF,1,48,4,1-Oct-22,2022," 7,075,000 ",Equipment
722,Manual Capper 1 Head - 9CPF,300389,9CPF,1,48,4,1-Oct-22,2022," 7,075,000 ",Equipment
723,Automatic Sticker Labeling Machine 3 side Label with transparant label sensor (Square Bottle) - 9CPF,300459,9CPF,1,96,8,1-Oct-22,2022," 319,000,000 ",Equipment
724,HIPERBARIC Double Intensifier DMB6 - 9CPF,300460,9CPF,1,96,8,1-Oct-22,2022," 2,121,604,853 ",Equipment
725,1 set Incline Conveyor To Hopper Cruser incl.platform & Tutup - 9CPF,300490,9CPF,1,96,8,1-Oct-22,2022," 173,329,200 ",Equipment
726,CECCATO - Compressor CSM10-10 TMDD - Integrated (inc.carbon filter) - 9CPF,300498,9CPF,1,96,8,12-Oct-22,2022," 92,515,500 ",Equipment
727,Ice Lolly Machine - CY40-1 - 9PRD,300513,9PRD,1,48,4,1-Oct-22,2022," 16,425,000 ",Equipment
728,GEA Planetary Mixer B-60 - 9PRD,300521,9PRD,1,48,4,1-Oct-22,2022," 50,370,000 ",Equipment
729,"Hand Pallet ""HELI HPT 30"" - 9CPF",300522,9CPF,1,48,4,4-Oct-22,2022," 4,250,000 ",Equipment
730,Set Audio Installation (Mixer+Speaker&Subwoofer+Mic) - 9IST,300523,9IST,1,48,4,17-Oct-22,2022," 24,000,000 ",Equipment
731,Glycol Cooling Chiller HAKAI with installation + Water Tank & Pump - 9CPF,300524,9CPF,1,96,8,1-Oct-22,2022," 542,070,000 ",Equipment
732,SHARP - Air Purifier Tipe FP-J80Y-H - 9CPF,300345,9CPF,1,48,4,4-Nov-22,2022," 3,572,000 ",Equipment
733,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300499,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
734,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300500,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
735,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300501,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
736,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300502,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
737,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300503,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
738,"Thermometer Data Logger ""Tempod 30"" - 9LAB",300504,9LAB,1,48,4,1-Nov-22,2022," 771,234 ",Equipment
739,GEA UpRight Glass Door Freezer FD-LD67 - 9PRD,300528,9PRD,1,48,4,11-Nov-22,2022," 19,345,000 ",Equipment
740,KASSEN Smart Handheld Inkjet Printer HD-3000 - 9CPF,300532,9CPF,1,48,4,28-Nov-22,2022," 5,581,000 ",Equipment
741,ENTROPY VIVA 5S - 9PRD,300533,9PRD,1,48,4,7-Nov-22,2022," 38,872,190 ",Equipment
742,"Instalasi Pipeline Washing, Rinser, Capping to Buffer - 9CPF",300536,9CPF,1,48,4,9-Nov-22,2022," 75,635,850 ",Equipment
743,"Instalasi Kabel Tufur, Panel & Power Outlet - 9CPF",300537,9CPF,1,48,4,9-Nov-22,2022," 203,156,150 ",Equipment
744,Trolley Container Bilas #1 - 9MEP,300486,9MEP,1,48,4,30-Dec-22,2022," 8,500,000 ",Equipment
745,Vitamix VM-149 - 9PRD,300527,9PRD,1,48,4,5-Dec-22,2022," 21,891,891 ",Equipment
746,OHAUS Pioneer Precision PX4202/E - 9PRD,300531,9PRD,1,48,4,8-Dec-22,2022," 19,027,250 ",Equipment
747,SAMSUNG Galaxy A04 4/64GB - 9FNA,300534,9FNA,1,48,4,14-Dec-22,2022," 1,600,000 ",Equipment
748,TASCO Mesin Fogging Mini KB-100 - 9CPF,300535,9CPF,1,48,4,20-Dec-22,2022," 2,099,000 ",Equipment
749,Cold Pressed Facility Building - GIIP Tangerang,200001,9CPF,,240,20,Jan-19,2019," 26,044,900,792 ",Building
750,Cold Pressed Facility Building - GIIP Tangerang - Cornice (sub 200001),200002,9CPF,,240,20,Apr-19,2019," 99,225,000 ",Building
751,Cold Pressed Facility Building - GIIP Tangerang - Ruangan Laboratorium (sub 200001),200003,9CPF,,240,20,May-19,2019," 50,862,000 ",Building
752,"Cold Pressed Facility Building - GIIP Tangerang -Instalasi Listrik Lt.2 (Lab PRD, Meeting & Trainin)",200005,9CPF,,240,20,Jul-19,2019," 15,350,000 ",Building
753,Cold Pressed Facility Building - GIIP Tangerang - Renovasi Ruangan Lt.2 (sub 200001),200004,9CPF,,240,20,Sep-19,2019," 110,825,000 ",Building
754,Cold Pressed Facility Building - GIIP Tangerang - Finishin Cold Storage PO 901000401,200006,9CPF,,240,20,Nov-19,2019," 248,662,064 ",Building
755,Cold Pressed Facility Building - GIIP Tangerang - Ruang Ganti & Penutup Celah PO 901000370,200007,9CPF,,240,20,Jul-20,2020," 144,000,000 ",Building
756,Cold Pressed Facility Building - GIIP Tangerang - CANOPY & PLATFORM AC - PO 921000199,200008,9CPF,,240,20,Jul-20,2020," 156,500,000 ",Building
757,Cold Pressed Facility Building - GIIP Tangerang - CANOPY & PLATFORM AC - PO 921001973,200009,9CPF,,240,20,Apr-21,2021," 67,488,000 ",Building
758,Cold Pressed Facility Building - GIIP Tangerang - Floor Ucrete - PO 921004154,200010,9CPF,,240,20,Nov-22,2022," 167,957,030 ",Building
