,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
508,Printer canon MG2570 - PXV1,300292,9IST,,48,4,Oct-15,2015," 668,000 ",Equipment,,, -   
509,POS 385 15 inch integrated POS+bixolon thermal printer SRP350G+Raptor Operators Card+Lanyards (5ea) - OKW,300316,OKW1,,48,4,Oct-15,2015," 32,946,760 ",Equipment,,, -   
510,15 inch LCD Display - OKW,300317,OKW1,,48,4,Oct-15,2015," 2,340,800 ",Equipment,,, -   
511,"Desktop Veriton X2630 core i3 + LED 19,5inch - OKW",300318,9IST,,48,4,Oct-15,2015," 8,690,000 ",Equipment,,, -   
512,UPS ICA 1200VA - OKW,300319,OKW1,,48,4,Oct-15,2015," 962,500 ",Equipment,,, -   
513,Showcase Juice Cooler type C5 #1 - OKW1,300320,OKW1,,48,4,Nov-15,2015," 70,125,000 ",Equipment,,, -   
514,Showcase Juice Cooler type C5 #2 - OKW1,300321,JGC1,,48,4,Nov-15,2015," 70,125,000 ",Equipment,,, -   
515,Juicer kuvings Platinum B6000 R - OKW1,300322,OKW1,,48,4,Dec-15,2015," 3,842,300 ",Equipment,,, -   
516,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - OKW1,300323,LOW1,,48,4,Jan-16,2016," 23,177,000 ",Equipment,,, -   
517,Finger Print Solution X100c - OKW1,300324,OKW1,,48,4,Oct-15,2015," 2,090,000 ",Equipment,,, -   
518,"Digital Portable Balance Yamaha Ex Taiwan  Model YA30K, 29x27cm - OKW",300325,OKW1,,48,4,Oct-15,2015," 1,408,000 ",Equipment,,, -   
519,Undercounter chiller 2 door Mastercool X ECX 210 TN #2 - OKW1,300326,OKW1,,48,4,Jan-16,2016," 17,776,000 ",Equipment,,, -   
520,Saladette w/ 10 X 1/4 GN Pan w/lid 1045 X 700 X 850-OKW1,300327,OKW1,,48,4,Jan-16,2016," 16,335,000 ",Equipment,,, -   
521,"Ice Cube Machine Brand, manitowoc model -OKW1",300329,OKW1,,48,4,Jan-16,2016," 24,900,000 ",Equipment,,, -   
522,Printer HP D1510 - OKW,300330,OKW1,,48,4,Oct-15,2015," 610,500 ",Equipment,,, -   
523,"Desktop Veriton X2630 core i3 + LED 19,5inch - SQR",300333,SQR1,,48,4,Oct-15,2015," 8,690,000 ",Equipment,,, -   
524,UPS ICA 1200VA - SQR,300334,SQR1,,48,4,Oct-15,2015," 962,500 ",Equipment,,, -   
525,Showcase Juice Cooler type C5 #1 - SQR1,300335,PSN1,,48,4,Dec-15,2015," 70,125,000 ",Equipment,,, -   
526,Showcase Juice Cooler type C5 #2 - SQR1,300336,PSN1,,48,4,Dec-15,2015," 70,125,000 ",Equipment,,, -   
527,Juicer kuvings Platinum B6000 R - SQR,300337,SQR1,,48,4,Dec-15,2015," 3,842,300 ",Equipment,,, -   
528,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - SQR1,300338,SQR1,,48,4,Nov-15,2015," 23,177,000 ",Equipment,,, -   
529,Finger Print Solution X100c - SQR,300339,SQR1,,48,4,Oct-15,2015," 2,090,000 ",Equipment,,, -   
530,"Digital Portable Balance Yamaha Ex Taiwan  Model YA30K, 29x27cm - SQR",300340,SQR1,,48,4,Oct-15,2015," 1,408,000 ",Equipment,,, -   
531,"Ice Cube Machine Brand, manitowoc model - SQR1",300344,SQR1,,48,4,Nov-15,2015," 24,900,000 ",Equipment,,, -   
532,Printer HP D1510 - SQR,300345,KNC1,,48,4,Oct-15,2015," 610,500 ",Equipment,,, -   
533,UprightChiller 2door (GN 650 TN M) - SQR1,300346,SQR1,,48,4,Nov-15,2015," 23,870,000 ",Equipment,,, -   
534,POS 385 inch 2nd Screen Hinge and bracket - OKW,300347,OKW1,,48,4,Oct-15,2015," 468,160 ",Equipment,,, -   
535,"Desktop Veriton X2630 core i3 + LED 19,5inch - Recruitment HRD",300362,9HRD,,48,4,Oct-15,2015," 9,024,400 ",Equipment,,, -   
536,"Desktop Veriton X2630 core i3 + LED 19,5inch - GA Staff",300363,9HRD,,48,4,Oct-15,2015," 9,024,400 ",Equipment,,, -   
537,Printer HP DJ 1510 - RTP,300380,RTP1,,48,4,Oct-15,2015," 610,500 ",Equipment,,, -   
538,Panasonic Telephone KX TS505MX - FXS1,300381,9IST,,24,2,Oct-15,2015," 159,500 ",Equipment,,, -   
539,Finger Print Solution X100C - RTP,300386,RTP1,,48,4,Oct-15,2015," 2,310,000 ",Equipment,,, -   
540,Finger Print Solution X100C - FXS,300387,9IST,,48,4,Oct-15,2015," 2,310,000 ",Equipment,,, -   
541,Display Cooler (Expo-90)-KKS1,300403,KKS1,,48,4,Nov-15,2015," 2,329,250 ",Equipment,,, -   
542,Display Cooler (Expo-90)-LOW1,300404,LOW1,,48,4,Nov-15,2015," 2,329,250 ",Equipment,,, -   
543,Filling Cabinet Prince 4 laci V304 - HRD,300405,9HRD,,48,4,Oct-15,2015," 1,559,000 ",Equipment,,, -   
544,Desktop Veriton X2630 core i3 tanpa monitor - HO,300406,9BOD,,48,4,Nov-15,2015," 8,034,400 ",Equipment,,, -   
545,"Display Cooler (Expo-280P), size  : 53x65.163 280 L 260 - RTP1",300407,RTP1,,48,4,Nov-15,2015," 5,082,000 ",Equipment,,, -   
546,Infrared Termometer -#2  CPF1,300418,CPF,,24,4,Dec-15,2015," 1,357,143 ",Equipment,,, -   
547,Infrared Termometer -#3  CPF1,300419,CPF,,24,4,Dec-15,2015," 1,357,143 ",Equipment,,, -   
548,Infrared Termometer -#4 CPF1,300420,CPF,,24,4,Dec-15,2015," 1,357,143 ",Equipment,,, -   
549,"Desktop Veriton X2630 core i3 + LED 19,5 - IT Helpdesk Staff",300422,9IST,,48,4,Dec-15,2015," 9,024,400 ",Equipment,,, -   
550,"Desktop Veriton X2630 core i3 + LED 19,5 - GIN1",300423,9IST,,48,4,Dec-15,2015," 9,024,400 ",Equipment,,, -   
551,"Digital Portable Balance,Yamata Ex Taiwan,Model YA30K, 29x27cm-GIN1",300424,GIN1,,48,4,,2016," 1,408,000 ",Equipment,,, -   
552,UPS ICA 1200VA - GIN1,300427,GIN1,,48,4,Dec-15,2015," 935,000 ",Equipment,,, -   
553,Chest Freezer Merk GEA type AB-100 - GIN1,300437,GIN1,,48,4,,2016," 4,319,700 ",Equipment,,, -   
554,"Display Cooler (Expo-280P), size  : 53x65.163 280 L 260 - FXS1",300448,AON1,,48,4,Dec-15,2015," 5,082,000 ",Equipment,,, -   
555,Medium Buffered Petpone 500 gr - CPF1,300450,CPF,,1,0.1,Jan-16,2016," 1,363,000 ",Equipment,,, -   
556,Laptop acer i3 - Distric Manager HO,300456,9OPS,,48,4,Jan-16,2016," 12,936,000 ",Equipment,,, -   
557,"Showcase juice cooler C5 #1, 1200x706x1614 - SML1",300230,GIN1,,48,4,Feb-16,2016," 65,450,000 ",Equipment,,, -   
558,"Showcase juice cooler C5 #2, 1200x706x1614 - SML1",300231,GIN1,,48,4,Feb-16,2016," 65,450,000 ",Equipment,,, -   
559,USB Modem 4G Huawei E5373 - KNC1,300284,9MKT,,48,4,Feb-16,2016," 12,936,000 ",Equipment,,, -   
560,POS 385 inch integrated+Bixolon Thermal Printer SRP350G+Raptor Operators card+Lanyards (5 ea) SQR1,300331,9IST,,48,4,Sep-16,2016," 32,946,760 ",Equipment,,, -   
561,15 inch LCD Display - SQR1,300332,9IST,,48,4,Sep-16,2016," 2,340,800 ",Equipment,,, -   
562,POS 385 2ND SCREEN HINGE AND BRACKET - SQR1,300348,9IST,,48,4,Sep-16,2016," 468,160 ",Equipment,,, -   
563,Undercounter chiller 2 door Mastercool X ECX 210 TN #2 - GIN1,300425,GIN1,,48,4,Feb-16,2016," 17,776,000 ",Equipment,,, -   
564,Ice Cube Machine Brand  : MANITOWOC Capacity : up to 100 kg/day-GIN1,300426,GIN1,,48,4,Feb-16,2016," 24,900,000 ",Equipment,,, -   
565,Finger Print Solution X100C - GIN1,300428,GIN1,,48,4,Feb-16,2016," 2,310,000 ",Equipment,,, -   
566,Vitamix VM 149 dimension : 216 x 295 x 457/622 mm - GIN1,300429,GIN1,,48,4,Feb-16,2016," 23,177,000 ",Equipment,,, -   
567,Saladette w/ 10 X 1/4 GN Pan w/lid 1045 X 700 X 850-GIN1,300430,GIN1,,48,4,Feb-16,2016," 16,335,000 ",Equipment,,, -   
568,POS 385 15 inch integrated POS-GIN1,300432,GIN1,,48,4,Feb-16,2016," 33,941,600 ",Equipment,,, -   
569,15 inch LCD Display - GIN1,300433,GIN1,,48,4,Feb-16,2016," 2,340,800 ",Equipment,,, -   
570,CASH DRAWER (BLACK) - GIN1,300434,GIN1,,48,4,Feb-16,2016," 1,111,880 ",Equipment,,, -   
571,POS 385 2ND SCREEN HINGE AND BRACKET - GIN1,300435,GIN1,,48,4,Feb-16,2016," 468,160 ",Equipment,,, -   
572,Jug Vitamix VM 149 - GIN1,300466,GIN1,,48,4,Mar-16,2016," 2,310,000 ",Equipment,,, -   
573,Chiller Chea Expo - 280P - KKS1,300470,KKS1,,48,4,Mar-16,2016," 5,082,000 ",Equipment,,, -   
574,Chiller Chea Expo - 280P - LOW1,300471,LOW1,,48,4,Mar-16,2016," 5,082,000 ",Equipment,,, -   
575,Notebook Acer Lightweight TMP645 i5 - FNA,300472,9FNA,,48,4,Feb-16,2016," 15,100,800 ",Equipment,,, -   
576,POS 391 10.4 INCH INTEGRATED POS - HO,300476,9EAO,,48,4,Apr-16,2016," 28,512,000 ",Equipment,,, -   
577,Cash Drawer POS 391 - HO,300477,9EAO,,48,4,Apr-16,2016," 1,111,880 ",Equipment,,, -   
578,391 CUSTOMER DISPLAY - HO,300478,9EAO,,48,4,Apr-16,2016," 1,544,400 ",Equipment,,, -   
579,POS 391 10.4 INCH INTEGRATED POS - GI,300479,GIN1,,48,4,Apr-16,2016," 28,512,000 ",Equipment,,, -   
580,Cash Drawer POS 391 - GIN,300480,GIN1,,48,4,Apr-16,2016," 1,111,880 ",Equipment,,, -   
581,391 CUSTOMER DISPLAY - GIN,300481,GIN1,,48,4,Apr-16,2016," 1,544,400 ",Equipment,,, -   
582,POS 385 15 inchi Integrated POS - RS PURI,300482,RSP1,,48,4,Apr-16,2016," 33,941,600 ",Equipment,,, -   
583,Cash Drawer POS 385 - RS PURI,300483,RSP1,,48,4,Apr-16,2016," 1,111,880 ",Equipment,,, -   
584,15 Inchi LCD Display - RS PURI,300484,RSP1,,48,4,Apr-16,2016," 2,340,800 ",Equipment,,, -   
585,POS 385 15 inchi Integrated POS - AEON,300485,AON1,,48,4,Apr-16,2016," 33,941,600 ",Equipment,,, -   
586,Cash Drawer POS 385 - AEON,300486,AON1,,48,4,Apr-16,2016," 1,111,880 ",Equipment,,, -   
587,15 Inchi LCD Display - AEON,300487,AON1,,48,4,Apr-16,2016," 2,340,800 ",Equipment,,, -   
588,Printer HP Deskjet 2135 - Puri,300489,RSP1,,48,4,Mar-16,2016," 742,500 ",Equipment,,, -   
589,Showcase Juice Cooler type C5 #1 - AEON,300490,AON1,,48,4,Apr-16,2016," 65,450,000 ",Equipment,,, -   
590,Printer HP Deskjet 2135 - AEON,300491,AON1,,48,4,Mar-16,2016," 742,500 ",Equipment,,, -   
591,Netbook Lenovo IP100 7ID - PURI,300492,9IST,,48,4,Mar-16,2016," 5,900,000 ",Equipment,,, -   
592,Finger Print Solution X100C - RS PURI,300494,RSP1,,48,4,Mar-16,2016," 2,310,000 ",Equipment,,, -   
593,Netbook Lenovo IP100 7ID - AEON,300496,9IST,,48,4,Mar-16,2016," 5,900,000 ",Equipment,,, -   
594,Finger Print Solution X100C - AEON,300498,AON1,,48,4,Mar-16,2016," 2,310,000 ",Equipment,,, -   
595,POS 385 2ND SCREEN HINGE AND BRACKET - RS PURI,300500,RSP1,,48,4,Apr-16,2016," 468,160 ",Equipment,,, -   
596,POS 385 2ND SCREEN HINGE AND BRACKET - AEON,300501,AON1,,48,4,Apr-16,2016," 468,160 ",Equipment,,, -   
597,Notebook Acer Veriton i3 - QCQA Senior Staff,300509,9QAC,,48,4,Apr-16,2016," 12,936,000 ",Equipment,,, -   
598,Netbook ACER TMB116-M - PI,300512,PLI1,,48,4,Jul-16,2016," 6,875,000 ",Equipment,,, -   
599,Netbook ACER TMB116-M - Botani Square,300513,BSQ1,,48,4,Jul-16,2016," 6,875,000 ",Equipment,,, -   
600,Netbook ACER TMB116-M - Mall Kelapa Gading,300514,MKG1,,48,4,Jul-16,2016," 6,875,000 ",Equipment,,, -   
601,"CTS-SX20-PHD4X-K9 - Integrated HD Camera 4x zoom, 1920x1080 pixels progressive @60 fps - HO",300515,9IST,,48,4,Aug-16,2016," 106,087,850 ",Equipment,,, -   
602,HP 2530-24 Switch J9782A - HO,300516,9HOC,,48,4,Jun-16,2016," 5,363,600 ",Equipment,,, -   
603,HP 2530-48 Switch J9781A - HO,300517,9HOC,,48,4,Jun-16,2016," 9,677,800 ",Equipment,,, -   
604,Netbook Acer TMB116-M- one Bel Park,300518,OBP1,,48,4,Jul-16,2016," 6,875,000 ",Equipment,,, -   
605,Projector Infocud IN 126 STA (Short Throw) + Bracket- HO,300519,9HOC,,48,4,Jun-16,2016," 13,145,000 ",Equipment,,, -   
606,"Screen View Manual Pull Down Projector Screen 100"" - HO",300520,9HOC,,48,4,Jun-16,2016," 2,090,000 ",Equipment,,, -   
607,Yamaha RXV 679-Ampli - HO,300521,9HOC,,48,4,Jun-16,2016," 9,500,000 ",Equipment,,, -   
608,WLC Aruba 7005 - HO,300522,9HOC,,48,4,Jun-16,2016," 19,496,169 ",Equipment,,, -   
609,Aruba Access Point 103 #1 - HO,300523,9HOC,,48,4,Jun-16,2016," 5,259,969 ",Equipment,,, -   
610,Aruba Access Point 103 #2 - HO,300524,9HOC,,48,4,Jun-16,2016," 5,259,969 ",Equipment,,, -   
611,POS 385 15 inchi integrated POS - OBP,300526,9IST,,48,4,Jun-16,2016," 33,941,600 ",Equipment,,, -   
612,15 inch LCD Display-LCD full color - OBP,300527,9IST,,48,4,Jun-16,2016," 2,340,800 ",Equipment,,, -   
613,Cash Drawer 385 POS - OBP,300528,9IST,,48,4,Jun-16,2016," 1,111,880 ",Equipment,,, -   
614,POS 385 2nd Screen Hinge And Bracket - OBP,300529,9IST,,48,4,Jun-16,2016," 468,160 ",Equipment,,, -   
615,Chiller GEA EXPO 800 AH/CN - OBP,300530,OBP1,,48,4,Jul-16,2016," 12,375,000 ",Equipment,,, -   
616,Finger Print Solution X100C - OBP,300533,OBP1,,48,4,Jul-16,2016," 2,310,000 ",Equipment,,, -   
617,UPS ICA 1200 VA - OBP,300534,OBP1,,48,4,Jun-16,2016," 825,000 ",Equipment,,, -   
618,Modem Huawei E3372S - OBP,300536,OBP1,,48,4,Jun-16,2016," 815,000 ",Equipment,,, -   
619,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #1 - HO Sequis",300537,9HOC,,48,4,Jun-16,2016," 3,250,000 ",Equipment,,, -   
620,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #2 - HO Sequis",300538,9HOC,,48,4,Jun-16,2016," 3,250,000 ",Equipment,,, -   
621,Vacum Cleaner Modena PURO VC 2050 - Ho Sequis,300539,9HOC,,48,4,Jul-16,2016," 1,149,615 ",Equipment,,, -   
622,Panasonic Microwave Silver type NNCT655MTTE/SL - HO Sequis,300540,9HOC,,48,4,Jun-16,2016," 2,589,700 ",Equipment,,, -   
623,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #3 - HO Sequis",300543,9HOC,,48,4,Jun-16,2016," 7,572,600 ",Equipment,,, -   
624,"TV LED Sharp Full HD 50"" Blacktype LC-50LE275X #4 - HO Sequis",300544,9HOC,,48,4,Jun-16,2016," 7,572,600 ",Equipment,,, -   
625,Sharp Refri 2 door 670 liter black type WEB.SJ-IP861NLV-BK/BL,300545,9HOC,,48,4,Jun-16,2016," 10,779,000 ",Equipment,,, -   
626,Maxcold Roler Ice BLU50QT00045 - GIN,300546,GIN1,,48,4,May-16,2016," 1,259,000 ",Equipment,,, -   
627,Maxcold Roler Ice BLU50QT00045 - PP,300547,PPC1,,48,4,May-16,2016," 1,259,000 ",Equipment,,, -   
628,"Pureit Marvella Hot Unilever kapasitas 4,8 liter #3 - HO Sequis",300548,9HOC,,48,4,Jun-16,2016," 3,250,000 ",Equipment,,, -   
629,Paper Shredder Autofit 75 sheet (290764) - HO Sequis,300549,9HOC,,48,4,Jul-16,2016," 2,799,000 ",Equipment,,, -   
630,Filling Cabinet 4 drawer merk Tiger #1 - HRD,300550,9HRD,,48,4,Jul-16,2016," 2,356,000 ",Equipment,,, -   
631,Filling Cabinet 4 drawer merk Tiger #2 - HRD,300551,9HRD,,48,4,Jul-16,2016," 2,356,000 ",Equipment,,, -   
632,Timbangan Analitik OHAUS CL-2000T (Cap 2000 gr) Digital scale,300552,9PRD,,48,4,Jun-16,2016," 1,950,000 ",Equipment,,, -   
633,1 Set BOSE Acoustimass AM6 Series V Black & 5 Pcs BOSE Universal Bracket UB-20 II Black - HO sequis,300553,9HOC,,48,4,Aug-16,2016," 13,044,600 ",Equipment,,, -   
634,Showcase Juice Cooler C3 - MKG,300554,MKG1,,48,4,Oct-16,2016," 76,560,000 ",Equipment,,, -   
635,TV LED Sony BRAVIA FHD LED 55 inch Internet TV (KDL-55W800C) - HO sequis,300555,9HOC,,48,4,Jul-16,2016," 11,988,650 ",Equipment,,, -   
636,KX-NS300-NS320 Unit - Master Expand Card - Bracket - 8 DLC Card - HO,300556,9HOC,,48,4,Jul-16,2016," 20,887,295 ",Equipment,,, -   
637,UPS ICA PN602 1200VA 24V HO Sequis,300557,9HOC,,48,4,Jul-16,2016," 2,420,000 ",Equipment,,, -   
638,Chiller GEA EXPO 800 AH/CN - SQS1,300563,SQS1,,48,4,Aug-16,2016," 12,375,000 ",Equipment,,, -   
639,Chiller GEA EXPO 800 AH/CN - GCT2,300567,GCT2,,48,4,Aug-16,2016," 12,375,000 ",Equipment,,, -   
640,Fingerprint i-Bio 330 + Locktronic + UI Bracket for Glass + Push Button + Emegency vreak glass - HO,300568,9HOC,,48,4,Aug-16,2016," 4,950,000 ",Equipment,,, -   
641,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #1 - HO Sequi,300569,9HOC,,48,4,Aug-16,2016," 4,485,000 ",Equipment,,, -   
642,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #2 - HO Sequi,300570,9HOC,,48,4,Aug-16,2016," 4,485,000 ",Equipment,,, -   
643,Fingerprint i-Bio 330 + EM Lock for single swing + Push Button + Emergency break Glass #3 - HO Sequi,300571,9HOC,,48,4,Aug-16,2016," 4,485,000 ",Equipment,,, -   
644,PCS-17 with batterry for emegency backup power #1 - HO,300572,9HOC,,48,4,Aug-16,2016," 1,050,000 ",Equipment,,, -   
645,PCS-17 with batterry for emegency backup power #2 - HO,300573,9HOC,,48,4,Aug-16,2016," 1,050,000 ",Equipment,,, -   
646,Display Cooler EXPO - 600AH/CN - HO,300574,9HOC,,48,4,Jul-16,2016," 10,065,000 ",Equipment,,, -   
647,Bluray Pioneer BDP 3140 - HO,300575,9HOC,,48,4,Aug-16,2016," 2,100,000 ",Equipment,,, -   
648,Mixer CB Accaustic AK 7100 - HO,300576,9HOC,,48,4,Aug-16,2016," 5,500,000 ",Equipment,,, -   
649,Mic Wirelles Muray MU 628 - HO,300577,9HOC,,48,4,Aug-16,2016," 2,400,000 ",Equipment,,, -   
650,POS 391 10.4 Inch Integrated POS - PUP Gancit,300578,GCT2,,48,4,Sep-16,2016," 23,166,000 ",Equipment,,, -   
651,Cash Drawer (Black) - PUP Gancit,300579,GCT2,,48,4,Sep-16,2016," 903,403 ",Equipment,,, -   
652,391 Custom Display - PUP Gancit,300580,GCT2,,48,4,Sep-16,2016," 1,254,825 ",Equipment,,, -   
653,POS 391 10.4 Inch Integrated POS - Sequis Center,300581,SQS1,,48,4,Sep-16,2016," 23,166,000 ",Equipment,,, -   
654,Cash Drawer (Black) - Sequis Center,300582,SQS1,,48,4,Sep-16,2016," 903,403 ",Equipment,,, -   
655,391 Custom Display - Sequis Center,300583,SQS1,,48,4,Sep-16,2016," 1,254,825 ",Equipment,,, -   
656,POS 325 15 True Flat POS - MKG,300584,MKG1,,48,4,Aug-16,2016," 27,577,550 ",Equipment,,, -   
657,Cash Drawer (Black) - MKG,300585,MKG1,,48,4,Aug-16,2016," 903,403 ",Equipment,,, -   
658,POS 325 2nd Screen 15 inch - MKG,300586,MKG1,,48,4,Aug-16,2016," 3,803,800 ",Equipment,,, -   
659,POS 325 15 True Flat POS - PI,300587,PLI1,,48,4,Nov-16,2016," 27,577,550 ",Equipment,,, -   
660,Cash Drawer (Black) - PI,300588,PLI1,,48,4,Nov-16,2016," 903,403 ",Equipment,,, -   
661,POS 325 2nd Screen 15 inch - PI,300589,PLI1,,48,4,Nov-16,2016," 3,803,800 ",Equipment,,, -   
662,POS 325 15 True Flat POS - Soho CP,300590,SOH1,,48,4,Nov-16,2016," 27,577,550 ",Equipment,,, -   
663,Cash Drawer (Black) - Soho CP,300591,SOH1,,48,4,Nov-16,2016," 903,403 ",Equipment,,, -   
664,POS 325 2nd Screen 15 inch - Soho CP,300592,SOH1,,48,4,Nov-16,2016," 3,803,800 ",Equipment,,, -   
665,Acer Netbook TMB116-M - PUP Gancit,300593,GCT2,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
666,Acer Netbook TMB116-M - Sequis Center,300594,SQS1,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
667,Acer Netbook TMB116-M - SOHO Central Park,300595,SOH1,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
668,Acer Netbook TMB116-M - Skyline,300596,MAG1,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
669,Acer Netbook TMB116-M - RSPI Bintaro,300597,9IST,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
670,Acer Netbook TMB116-M - Emporium Pluit,300598,9IST,,48,4,Aug-16,2016," 6,875,000 ",Equipment,,, -   
671,Acer Netbook TMB116-M - Epicentrum,300599,EPI1,,48,4,Sep-16,2016," 6,875,000 ",Equipment,,, -   
672,Acer Netbook TMB116-M - Celfit Plaza Indonesia,300600,9IST,,48,4,Sep-16,2016," 6,875,000 ",Equipment,,, -   
673,Acer Corporate Notebook LIGHTWEIGHT TMP645 i3 (Lilianne Melisa) - HO,300601,9HOC,,48,4,Aug-16,2016," 12,925,000 ",Equipment,,, -   
674,Finger Print Solution X100C - MKG,300602,MKG1,,48,4,Aug-16,2016," 2,310,000 ",Equipment,,, -   
675,Finger Print Solution X100C - PUP Gancit,300603,GCT2,,48,4,Sep-16,2016," 2,310,000 ",Equipment,,, -   
676,Finger Print Solution X100C - PI,300604,PLI1,,48,4,Aug-16,2016," 2,310,000 ",Equipment,,, -   
677,Finger Print Solution X100C - Soho CP,300605,SOH1,,48,4,Sep-16,2016," 2,310,000 ",Equipment,,, -   
678,UCHIDA Fireproof Safe BK-T - FNA (HO),300606,9HOC,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
679,UCHIDA Fireproof Safe BK-S - Gancit,300607,GCT1,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
680,UCHIDA Fireproof Safe BK-S - GI,300608,GIN1,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
681,UCHIDA Fireproof Safe BK-S - MKG,300609,MKG1,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
682,UCHIDA Fireproof Safe BK-S - PI,300610,PLI1,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
683,UCHIDA Fireproof Safe BK-S - PP,300611,PPC1,,48,4,Aug-16,2016," 2,079,000 ",Equipment,,, -   
684,UCHIDA Fireproof Safe BK-K - HRD,300612,9HOC,,48,4,Aug-16,2016," 5,676,000 ",Equipment,,, -   
685,Apple TV 32 GB - HO,300613,9HOC,,48,4,Jul-16,2016," 2,499,000 ",Equipment,,, -   
686,POS 391 10.4 Inch Integrated POS - Skyline,300620,MAG1,,48,4,Sep-16,2016," 23,166,000 ",Equipment,,, -   
687,Cash Drawer (Black) - Skyline,300621,MAG1,,48,4,Sep-16,2016," 903,403 ",Equipment,,, -   
688,391 Custom Display - Skyline,300622,MAG1,,48,4,Sep-16,2016," 1,254,825 ",Equipment,,, -   
689,POS 391 10.4 Inch Integrated POS - RPSI Bintaro,300623,OBP1,,48,4,Dec-16,2016," 23,166,000 ",Equipment,,, -   
690,Cash Drawer (Black) - RPSI Bintaro,300624,OBP1,,48,4,Dec-16,2016," 903,403 ",Equipment,,, -   
691,391 Custom Display - RPSI Bintaro,300625,OBP1,,48,4,Dec-16,2016," 1,254,825 ",Equipment,,, -   
692,POS 391 10.4 Inch Integrated POS - Emporium,300626,9OPS,,48,4,Nov-16,2016," 23,166,000 ",Equipment,,, -   
693,Cash Drawer (Black) - Emporium,300627,9OPS,,48,4,Nov-16,2016," 903,403 ",Equipment,,, -   
694,391 Custom Display - Emporium,300628,9OPS,,48,4,Nov-16,2016," 1,254,825 ",Equipment,,, -   
695,POS 391 10.4 Inch Integrated POS - Epicentrum,300629,EPI1,,48,4,Oct-16,2016," 23,166,000 ",Equipment,,, -   
696,Cash Drawer (Black) - Epicentrum,300630,EPI1,,48,4,Oct-16,2016," 903,403 ",Equipment,,, -   
697,391 Custom Display - Epicentrum,300631,EPI1,,48,4,Oct-16,2016," 1,254,825 ",Equipment,,, -   
698,POS 391 10.4 Inch Integrated POS - Cellfit PI,300632,9IST,,48,4,Nov-16,2016," 23,166,000 ",Equipment,,, -   
699,Cash Drawer (Black) - Cellfit PI,300633,9IST,,48,4,Nov-16,2016," 903,403 ",Equipment,,, -   
700,391 Custom Display - Cellfit PI,300634,9IST,,48,4,Nov-16,2016," 1,254,825 ",Equipment,,, -   
701,"GEA Chiller EXPO 600 AH/CN uk:95x62,5x188 cm - Soho CP",300637,SOH1,,48,4,Sep-16,2016," 10,065,000 ",Equipment,,, -   
702,GEA FREEZER AB100 - Soho CP,300638,SOH1,,48,4,Sep-16,2016," 2,103,750 ",Equipment,,, -   
703,"GEA Chiller EXPO 600 AH/CN uk:95x62,5x188 cm - Skyline",300639,MAG1,,48,4,Sep-16,2016," 10,065,000 ",Equipment,,, -   
704,Finger Print Solution X100C - Skyline,300640,MAG1,,48,4,Sep-16,2016," 2,310,000 ",Equipment,,, -   
705,"GEA Chiller EXPO 600 AH/CN uk:95x62,5x188 cm - Soho CP",300641,SOH1,,48,4,Sep-16,2016," 10,065,000 ",Equipment,,, -   
706,GEA Chiller EXPO 800 AH/CN - Epicentrum,300651,EPI1,,48,4,Oct-16,2016," 12,375,000 ",Equipment,,, -   
707,Finger Print Solution X100C - Terminal 3 Soetta,300653,9IST,,48,4,Nov-16,2016," 2,310,000 ",Equipment,,, -   
708,Finger Print Solution X100C - Epicentrum,300654,EPI1,,48,4,Nov-16,2016," 2,310,000 ",Equipment,,, -   
709,"Thermometer Data Logger ""Tempod"" type MD - GCT",300656,GCT1,,48,4,Nov-16,2016," 1,650,000 ",Equipment,,, -   
710,"Thermometer Data Logger ""Tempod"" type MD - KKS",300657,KKS1,,48,4,Nov-16,2016," 1,650,000 ",Equipment,,, -   
711,"Thermometer Data Logger ""Tempod"" type MD - LOW",300658,LOW1,,48,4,Nov-16,2016," 1,650,000 ",Equipment,,, -   
712,"Thermometer Data Logger ""Tempod"" type MD - WTC",300660,WTC1,,48,4,Nov-16,2016," 1,650,000 ",Equipment,,, -   
