,,,,,,,,,,,,,
No.,Fix Asset Name,NO SAP,Lokasi (Dist.Rule),Qty,Useful Life (Month),Useful Life (Year),acquisition Date,acquisition Year,Total Acquisision value,Category,Disposal date,Year Of Disposal,Amount Deduction
39,Mesin Juicer X-6 CPF ,300244,CPF,,48,4,Jul-15,2015," 700,878,681 ",Equipment,30-Jun-18,2018," 700,878,681 "
40,Mesin Juicer X-1 CPF (2),300245,CPF,,96,4,Jul-15,2015," 364,543,782 ",Equipment,30-Jun-18,2018," 364,543,782 "
41,Mikrotik Router - CPF (2),300246,CPF,,48,4,Sep-15,2015," 2,640,000 ",Equipment,30-Jun-18,2018," 2,640,000 "
42,Monitor LG #1 - CPF,300247,CPF,,48,4,Sep-15,2015," 1,188,000 ",Equipment,30-Jun-18,2018," 1,188,000 "
43,Monitor LG #2 - CPF,300248,CPF,,48,4,Sep-15,2015," 1,188,000 ",Equipment,30-Jun-18,2018," 1,188,000 "
44,Monitor LG #3 - CPF,300249,CPF,,48,4,Sep-15,2015," 1,188,000 ",Equipment,30-Jun-18,2018," 1,188,000 "
45,Thinkclient T510 #1 - CPF,300250,CPF,,48,4,Sep-15,2015," 4,290,000 ",Equipment,30-Jun-18,2018," 4,290,000 "
46,Thinkclient T510 #2 - CPF,300251,CPF,,48,4,Sep-15,2015," 4,290,000 ",Equipment,30-Jun-18,2018," 4,290,000 "
47,Thinkclient T510 #3 - CPF,300252,CPF,,48,4,Sep-15,2015," 4,290,000 ",Equipment,30-Jun-18,2018," 4,290,000 "
48,Compressor GXE7P A 10 ml 400 50 MK5 TM + FX5 (A4)  A CE 230V1PH50 - CPF1,300276,CPF,,48,4,Sep-15,2015," 135,520,000 ",Equipment,30-Jun-18,2018," 135,520,000 "
49,Filter DD35 + (NPT 1/2) #1 - CPF1,300277,CPF,,48,4,Sep-15,2015," 7,700,000 ",Equipment,30-Jun-18,2018," 7,700,000 "
50,Filter DD35 + (NPT 1/2) #2 - CPF1,300278,CPF,,48,4,Sep-15,2015," 7,700,000 ",Equipment,30-Jun-18,2018," 7,700,000 "
51,"Digital Portable Balance, Yamaha ex Taiwan, Model: YA 30K, 29x27cm - CPF",300279,CPF,,48,4,Oct-15,2015," 1,408,000 ",Equipment,30-Jun-18,2018," 1,408,000 "
52,Thermo 1384 - G 1300 Biological Safety Cabinet class II A2 1.2 m / 4 feet - CPF,300294,CPF,,96,4,Nov-15,2015," 125,400,000 ",Equipment,30-Jun-18,2018," 125,400,000 "
53,HVE 50 Autoclave Hirayama 540w x 1040h x 530d mm - CPF,300295,CPF,,96,4,Nov-15,2015," 64,240,000 ",Equipment,30-Jun-18,2018," 64,240,000 "
54,"88880018 Thermo LP Vortex Mixer, Touch Continous, Variable Speed control  AC 100-240v - CPF1",300296,CPF,,96,4,Nov-15,2015," 4,719,440 ",Equipment,30-Jun-18,2018," 4,719,440 "
55,FI 4652080 Finnpipette F2 fix Vol.1ml Autoclavable + QSP nT112XLRL-Q Pipette Tip 1 ML - CPF1,300297,CPF,,96,4,Nov-15,2015," 2,833,600 ",Equipment,30-Jun-18,2018," 2,833,600 "
56,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (1) - CPF,300298,CPF,,96,4,Nov-15,2015," 8,723,440 ",Equipment,30-Jun-18,2018," 8,723,440 "
57,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (2) - CPF,300299,CPF,,96,4,Nov-15,2015," 8,723,440 ",Equipment,30-Jun-18,2018," 8,723,440 "
58,7000190 Rapidcheck select salmonela food system - 2 x 50tests w/ media (3) - CPF,300300,CPF,,96,4,Nov-15,2015," 8,723,440 ",Equipment,30-Jun-18,2018," 8,723,440 "
59,LP 11598 Cultiplast swab - CPF1,300301,CPF,,96,4,Nov-15,2015," 1,760,000 ",Equipment,30-Jun-18,2018," 1,760,000 "
60,"Chiller cabinet (MGUR-60), dimensi : 60x74x195.5 V : 425 L - CPF1",300302,CPF,,48,4,Sep-15,2015," 17,106,376 ",Equipment,30-Jun-18,2018," 17,106,376 "
61,Bottle dispense cap 1-10 ml - CPF1,300303,CPF,,48,4,Oct-15,2015," 5,874,000 ",Equipment,30-Jun-18,2018," 5,874,000 "
62,"Meja Zink single bowl #1, size: 1550x600x900 mm - CPF1",300304,CPF,,96,4,Oct-15,2015," 10,683,750 ",Equipment,30-Jun-18,2018," 10,683,750 "
63,"Meja Zink single bowl #2, size: 1550x600x900 mm - CPF1",300305,CPF,,96,4,Oct-15,2015," 10,683,750 ",Equipment,30-Jun-18,2018," 10,683,750 "
